sex,year,dm,estimate,CI_lower,CI_upper,variable
female,2011-2012,diagnosed diabetes >1y,33.8384482175061,32.354568971005534,35.32232746400666,BMI
female,2011-2012,newly and undiagnosed diabetes,31.614344469263653,30.159017464371292,33.06967147415602,BMI
female,2011-2012,non-diabetes,28.08019093552041,27.60739565823986,28.55298621280096,BMI
female,2013-2014,diagnosed diabetes >1y,33.50439294912171,32.50477397786334,34.50401192038008,BMI
female,2013-2014,newly and undiagnosed diabetes,31.961631418225473,30.463521046909694,33.45974178954125,BMI
female,2013-2014,non-diabetes,28.580462092879603,28.099779771516246,29.06114441424296,BMI
female,2015-2016,diagnosed diabetes >1y,34.12075338952161,33.20899161374911,35.03251516529411,BMI
female,2015-2016,newly and undiagnosed diabetes,32.42751950191687,30.64359241715013,34.21144658668361,BMI
female,2015-2016,non-diabetes,28.87757533088811,28.267176697632465,29.487973964143755,BMI
female,2017-2018,diagnosed diabetes >1y,33.96425691233035,32.313854380866104,35.614659443794594,BMI
female,2017-2018,newly and undiagnosed diabetes,34.48012894984875,32.27432344430859,36.6859344553889,BMI
female,2017-2018,non-diabetes,28.946250059397947,28.313368765613642,29.57913135318225,BMI
male,2011-2012,diagnosed diabetes >1y,31.378808374645196,29.536771668125454,33.22084508116494,BMI
male,2011-2012,newly and undiagnosed diabetes,31.010741367867535,29.743775801690447,32.27770693404462,BMI
male,2011-2012,non-diabetes,27.873792088261723,27.462797502411103,28.284786674112343,BMI
male,2013-2014,diagnosed diabetes >1y,32.12038127160563,30.998970244550254,33.24179229866101,BMI
male,2013-2014,newly and undiagnosed diabetes,31.64129358635024,30.364936029068744,32.91765114363174,BMI
male,2013-2014,non-diabetes,28.012756589731648,27.740965375055204,28.284547804408092,BMI
male,2015-2016,diagnosed diabetes >1y,31.32985701433464,30.303766135081197,32.35594789358808,BMI
male,2015-2016,newly and undiagnosed diabetes,31.15137557395954,30.12312495522779,32.179626192691295,BMI
male,2015-2016,non-diabetes,28.448553928408717,27.898951500656455,28.99815635616098,BMI
male,2017-2018,diagnosed diabetes >1y,31.834736395550397,30.451333063175113,33.21813972792568,BMI
male,2017-2018,newly and undiagnosed diabetes,32.84997731168769,30.591976820273374,35.107977803102,BMI
male,2017-2018,non-diabetes,28.997639097081585,28.469214643317418,29.526063550845752,BMI
female,2011-2012,diagnosed diabetes >1y,37.67513399407272,35.76803066204899,39.582237326096454,Fat percentage
female,2011-2012,newly and undiagnosed diabetes,38.30711358849169,36.802246464201744,39.81198071278163,Fat percentage
female,2011-2012,non-diabetes,37.165583064207034,36.70577574333431,37.62539038507976,Fat percentage
female,2013-2014,diagnosed diabetes >1y,37.976973098294586,36.8327328839454,39.121213312643775,Fat percentage
female,2013-2014,newly and undiagnosed diabetes,38.43524532951212,36.7406111228547,40.12987953616953,Fat percentage
female,2013-2014,non-diabetes,37.71037210145334,37.27624645648829,38.14449774641839,Fat percentage
female,2015-2016,diagnosed diabetes >1y,38.15207281946929,36.67009852921543,39.63404710972315,Fat percentage
female,2015-2016,newly and undiagnosed diabetes,38.71124215920743,37.20859863850547,40.21388567990939,Fat percentage
female,2015-2016,non-diabetes,37.26519175876661,36.68847206491619,37.84191145261703,Fat percentage
female,2017-2018,diagnosed diabetes >1y,38.07708647165624,36.24385823580205,39.91031470751042,Fat percentage
female,2017-2018,newly and undiagnosed diabetes,38.630083926905826,36.25263309581966,41.00753475799199,Fat percentage
female,2017-2018,non-diabetes,37.29809065158302,36.47735716083431,38.118824142331725,Fat percentage
male,2011-2012,diagnosed diabetes >1y,31.96031369200185,29.690442601004786,34.23018478299891,Fat percentage
male,2011-2012,newly and undiagnosed diabetes,31.26586458086756,29.649629571556112,32.88209959017901,Fat percentage
male,2011-2012,non-diabetes,28.233012244085234,27.653671651369436,28.812352836801033,Fat percentage
male,2013-2014,diagnosed diabetes >1y,32.748557383342856,31.14230272714736,34.35481203953835,Fat percentage
male,2013-2014,newly and undiagnosed diabetes,32.821441482961866,31.15845697861048,34.48442598731325,Fat percentage
male,2013-2014,non-diabetes,28.579869251507194,27.980937589973294,29.178800913041094,Fat percentage
male,2015-2016,diagnosed diabetes >1y,31.726654867967177,29.676009611234896,33.77730012469946,Fat percentage
male,2015-2016,newly and undiagnosed diabetes,31.772999927804165,30.19831975647068,33.34768009913765,Fat percentage
male,2015-2016,non-diabetes,28.981974743438144,28.24985005231225,29.714099434564037,Fat percentage
male,2017-2018,diagnosed diabetes >1y,33.35113274614976,31.723177455138085,34.97908803716143,Fat percentage
male,2017-2018,newly and undiagnosed diabetes,33.800063956875945,30.773322010346483,36.82680590340541,Fat percentage
male,2017-2018,non-diabetes,29.762523086534372,29.06022619820186,30.464819974866884,Fat percentage
