year,dm,estimate,CI_lower,CI_upper,variable
2011-2012,diagnosed diabetes >1y,32.55435206743912,31.43748409577604,33.671220039102195,BMI
2011-2012,newly and undiagnosed diabetes,31.34280236271731,30.343975498823198,32.341629226611424,BMI
2011-2012,non-diabetes,27.98109328726659,27.57442516157804,28.387761412955136,BMI
2013-2014,diagnosed diabetes >1y,32.82546776788786,31.99153674201147,33.65939879376425,BMI
2013-2014,newly and undiagnosed diabetes,31.784740115895183,30.79237543821604,32.777104793574324,BMI
2013-2014,non-diabetes,28.30855899470819,27.991109446415912,28.626008543000466,BMI
2015-2016,diagnosed diabetes >1y,32.55080917309451,31.74844996582997,33.353168380359044,BMI
2015-2016,newly and undiagnosed diabetes,31.71968213093829,30.859482135166562,32.57988212671002,BMI
2015-2016,non-diabetes,28.6753609682442,28.15137585380807,29.19934608268033,BMI
2017-2018,diagnosed diabetes >1y,32.79537260283975,31.38252351565369,34.2082216900258,BMI
2017-2018,newly and undiagnosed diabetes,33.697937297709615,32.032263847206245,35.363610748212984,BMI
2017-2018,non-diabetes,28.972427321475365,28.502831220428853,29.442023422521878,BMI
2011-2012,diagnosed diabetes >1y,34.50527145903544,33.164260608264506,35.84628230980638,Fat percentage
2011-2012,newly and undiagnosed diabetes,35.08402679651233,33.819074091933345,36.34897950109132,Fat percentage
2011-2012,non-diabetes,32.85522143828588,32.41858719927159,33.29185567730017,Fat percentage
2013-2014,diagnosed diabetes >1y,35.23967427454279,34.29059002883425,36.188758520251334,Fat percentage
2013-2014,newly and undiagnosed diabetes,35.3321372829416,34.23135530278363,36.43291926309957,Fat percentage
2013-2014,non-diabetes,33.36627567516177,32.907121011859566,33.82543033846398,Fat percentage
2015-2016,diagnosed diabetes >1y,34.34481306836716,32.82181156215502,35.8678145745793,Fat percentage
2015-2016,newly and undiagnosed diabetes,34.79879946502561,33.737028577639556,35.86057035241166,Fat percentage
2015-2016,non-diabetes,33.37867229106012,32.876933792570505,33.880410789549735,Fat percentage
2017-2018,diagnosed diabetes >1y,35.26846711485585,33.82413393827575,36.712800291435954,Fat percentage
2017-2018,newly and undiagnosed diabetes,36.24900864968305,34.41944695393493,38.07857034543117,Fat percentage
2017-2018,non-diabetes,33.729732714613604,33.183303323584745,34.27616210564246,Fat percentage
